question;answer
En que trabaja un Cajero Bancario y Comercial – CBC en Cenfobank? ; Gestionar operaciones como depósitos, retiros y proporcionar información sobre los productos y servicios del banco. Ofrecer un servicio eficiente, seguro y amable a los clientes, mientras se administra el flujo de efectivo en la sucursal.
En que trabaja un Ejecutibo de Banca y Negocios - EBN en Cenfobank? ; Este programa capacita analistas de crédito y asesores con conocimientos en tecnología crediticia, gestión empresarial y habilidades comerciales. Aprenderás el proceso de evaluación crediticia adaptado al tipo de cliente y empresa.
En que trabaja un ASISTENTE CONTABLE - AC en Cenfobank? ; Desarrollar competencias para identificar y aplicar conceptos teóricos y prácticos de la contabilidad básica en las empresas. Manejo de sistemas contables y optimizar el pagos de impuestos y obligaciones tributarias mediante la correcta aplicación de procedimientos según la normativa tributaria.
En que trabaja un ASISTENTE ADMINISTRATIVO - AA en Cenfobank? ; Desarrollar habilidades para brindar apoyo a la gerencia y distintos departamentos, desempeñando tareas administrativas y de gestión básica mediante el uso de herramientas informáticas fundamentales. Organizar la documentación y gestionar la relación con los clientes.
Que certificacion ofrece cenfobank? ; 1. Cajero Bancario y Comercial – CBC, 2. Ejecutibo de Banca y Negocios - EBN, 3. ASISTENTE CONTABLE - AC, 4. ASISTENTE ADMINISTRATIVO - AA.
Que cursos ofrece cenfobank? ; 1. Cajero Bancario y Comercial – CBC, 2. Ejecutibo de Banca y Negocios - EBN, 3. ASISTENTE CONTABLE - AC, 4. ASISTENTE ADMINISTRATIVO - AA.
Que talleres ofrece cenfobank? ; 1 NEUROVENTAS:Desarrolla habilidades y aptitudes comerciales mediante la aplicación de estrategias y técnicas de ventas, 2. ATENCIÓN DE CALIDAD AL CLIENTE: Generamos clientes contentos y altamente satisfechos a través de pautas y atributos de atención de calidad, 3. EMPLEABILIDAD: Descubre las demandas actuales del mercado laboral para ser competitivo y contar con las herramientas necesarias para alcanzar tus objetivos profesionales y laborales, 4 VISITAS AL BCRP, 5. SoftSkills: potencia tus habilidades.
En cuanto tiempo me espcializo? ; ESPECIALÍZATE EN SOLO 6 MESES, En CENFOBANK fundamentamos nuestro enfoque en la eficiencia y la rapidez como pilares fundamentales para alcanzar el éxito en la industria financiera. Nuestros programas de capacitación intensiva, con una duración de seis meses, están estratégicamente diseñados para brindarte una experiencia educativa completa y orientada hacia resultados concretos.
Cual es el silabo? ; Indicamos cual de los siguientes cursos que brindamos.Cajero Bancario Comercial Ejecutivo de Banca y Negocios (EBN) Asistente Contable (AC)
Cual es la malla curricular de CBC? ; Cajero Bancario Comercial con experiencia destacada en el manejo eficiente de operaciones y transacciones bancarias, cumpliendo con indicadores y planillas de desempeño. Especializado en la identificación de billetes y monedas falsificadas, así como en el conteo veloz de 100 billetes en 30 segundos. Amplio conocimiento de normativas financieras, incluyendo SBS, BCRP e INDECOPI. Experto en la venta de productos financieros, tanto activos como pasivos, y en la promoción de Tarjetas de Crédito. Habilidad en la elaboración de documentos, incluyendo el Curriculum Vitae Documentado. Competente en la comunicación efectiva y la conducción de entrevistas laborales. Proactivo y orientado a resultados, buscando contribuir con mi experiencia en un entorno bancario que valore la excelencia en el servicio y el cumplimiento normativo.
Cual es la malla curricular de EBN ; Ejecutivo de Banca y Negocios (EBN) con sólida experiencia en el ámbito financiero, especializado en microfinanzas. Experto en la segmentación de clientes y en la colocación, promoción y seguimiento de productos financieros. Destacada capacidad en el análisis cualitativo y cuantitativo, evaluación de categorías de evaluación, y gestión de centrales de riesgo. Amplio conocimiento en la participación activa en comités de créditos y comités de mora, contribuyendo a la toma de decisiones estratégicas. Habilidad comprobada en la recuperación de cartera y negociación efectiva. Orientado a resultados, busco aplicar mi experiencia y habilidades en un entorno que valore la gestión eficiente de riesgos y el impulso de estrategias que fomenten el crecimiento y la solidez financiera.
Cual es la malla curriular de AD? ; Asistente Administrativo (AD) con sólida formación y experiencia en ofimática y tecnología de la información, destacando habilidades en comunicación empresarial, organización y gestión del tiempo. Experto en contabilidad básica, gestión de documentos y archivos, así como en procesos administrativos. Comprometido con la ética profesional y la responsabilidad social, mi enfoque se centra en el desarrollo personal y profesional constante. Con un perfil orientado a la eficiencia y la precisión, busco contribuir al éxito de la organización mediante la aplicación de mis habilidades administrativas y mi capacidad para enfrentar desafíos de manera proactiva.
Cual es la malla curricular de AA ; Asistente Contable (AC) con competencias sólidas en ofimática y tecnología de la información, comunicación empresarial, así como organización y gestión del tiempo. Poseo un conocimiento profundo en contabilidad básica, gestión de documentos y archivos, y procesos administrativos. Mi enfoque se caracteriza por la aplicación de principios éticos y responsabilidad social en todas las actividades. Comprometido con el desarrollo personal y profesional continuo, busco aportar mis habilidades contables y administrativas para garantizar la precisión y la integridad en los registros financieros, contribuyendo así al éxito y la transparencia de la organización.
Que documentos obtendre despues de estudiar? ; Al completar el programa, se otorgarán cuatro documentos oficiales que respaldarán las habilidades y conocimientos adquiridos. Estos incluyen el Certificado de Cajero Bancario Comercial, el Certificado de Ejecutivo Banca y Negocios, así como la Constancia de Calidad en Atención al Cliente y Técnicas de Venta. Además, se proporcionará una Constancia del Taller de Identificación de Numerario Falsificado emitido por el Banco Central de Reserva del Perú (BCRP), validando la capacitación en la detección de billetes fraudulentos. Estos documentos certifican la preparación integral en el ámbito bancario y financiero.
Que certificacion obtendre despues de estudiar? ; Al completar el programa, se otorgarán cuatro documentos oficiales que respaldarán las habilidades y conocimientos adquiridos. Estos incluyen el Certificado de Cajero Bancario Comercial, el Certificado de Ejecutivo Banca y Negocios, así como la Constancia de Calidad en Atención al Cliente y Técnicas de Venta. Además, se proporcionará una Constancia del Taller de Identificación de Numerario Falsificado emitido por el Banco Central de Reserva del Perú (BCRP), validando la capacitación en la detección de billetes fraudulentos. Estos documentos certifican la preparación integral en el ámbito bancario y financiero.
